,,,,,,,,,,,,,,,,,,,,
,Age (years),Non-trauma EDV CRFs [ICD 10: A00-R99],SE,Asthma HA CRFs [ICD 10: J45],SE,WA baseline incidence rate (per person per day),Asthma symptoms onset CRFs [ICD 10: J45],SE,"COPD Emergency HA  CRFs [ICD 10: J41,J42,J43,J44]",SE,"Acute Otitis Media (ear ache) Outpatient healthcare CRFs [ICD-10: H65, H66, H67, H68, H69, J10, J11, J12]",SE,Respiratory Disease HA CRFs [ICD 10: J00-J99],SE,"Ischemic heart disease EDV CRFs [ICD 10: I20-I25, I46, I49]",SE,Age (years),,,
,81,0.0031779607,4.99E-05,0.0108873399999999,0.003760924,0.00000195271178082192,0.030278762,0.0009204231,5.55E-03,0.0006254412,-,-,0.01317937,0.007513068,0.002818827,0.0008006737,81,,,
,82,0.0031592062,5.09E-05,0.0110157400000001,0.003928868,0.00000197829342465753,0.030263186,0.0009937783,5.54E-03,0.0006109284,-,-,0.01340454,0.007785782,0.00285474200000001,0.0008199081,82,,,
,83,0.0031404517,5.19E-05,0.01114438,0.00410749,0.0000020037495890411,0.0302475569999996,0.0010714139,5.53E-03,0.0005961348,-,-,0.01363115,0.008071905,0.002881486,0.0008345013,83,,,
,84,0.0031216971,5.29E-05,0.0112732800000001,0.004296808,0.0000020290797260274,0.0302318830000003,0.0011533092,5.53E-03,0.0005810753,-,-,0.01385918,0.008371895,0.002899497,0.0008432309,84,,,
,85,0.0031029426,5.40E-05,0.01140245,0.004496823,0.00000205428356164384,0.0302161729999999,0.0012394501,5.52E-03,0.0005657707,-,-,0.0140886299999999,0.008686197,0.00290924699999999,0.0008453889,85,,,
,86,0.0030841881,5.50E-05,0.0115318600000001,0.004707525,0.00000207936109589041,0.0302004330000001,0.0013298281,5.51E-03,0.0005502479,-,-,0.0143194900000001,0.009015237,0.002911233,0.000840836,86,,,
,87,0.0030654336,5.61E-05,0.01166152,0.004928896,0.00000210431205479452,0.0301846750000001,0.0014244394,5.51E-03,0.00053454,-,-,0.0145517599999999,0.009359425,0.002905977,0.0008300825,87,,,
,88,0.003046679,5.72E-05,0.01179145,0.005160917,0.00000212913616438356,0.0301689009999997,0.0015232843,5.50E-03,0.0005186868,-,-,0.01478543,0.009719157,0.00289400400000001,0.0008144072,88,,,
,89,0.0030279245,5.82E-05,0.01192162,0.005403565,0.00000215383424657534,0.0301531230000003,0.0016263659,5.50E-03,0.0005027352,-,-,0.01502051,0.010094813,0.002875848,0.0007960148,89,,,
,90,0.00300917,5.93E-05,0.01205203,0.00565682,0.00000217840575342466,0.0301373439999999,0.00173369,5.50E-03,0.0004867402,-,-,0.01525696,0.010486759,0.002852042,0.0007782088,90,,,
,91,0.0029904154,6.04E-05,0.0121827,0.005920664,0.00000220285123287671,0.0301215699999999,0.0018452643,5.49E-03,0.0004707653,-,-,0.01549482,0.010895347,0.002823109,0.0007654917,91,,,
,92,0.0029716609,6.15E-05,0.01231361,0.006195082,0.00000222717095890411,0.0301058099999998,0.0019610978,5.49E-03,0.0004548842,-,-,0.01573404,0.011320919,0.002789559,0.0007634166,92,,,
,93,0.0029529064,6.26E-05,0.01244477,0.006480063,0.00000225136520547945,0.030090065,0.0020812007,5.48E-03,0.0004391818,-,-,0.01597466,0.011763804,0.00275189199999999,0.0007779647,93,,,
,94,0.0029341519,6.38E-05,0.0125761600000001,0.006775601,0.00000227543424657534,0.0300743430000003,0.0022055839,5.48E-03,0.0004237555,-,-,0.01621663,0.012224323,0.002710582,0.0008144116,94,,,
,95,0.0029153973,6.49E-05,0.0127077999999999,0.007081696,0.00000229937863013699,0.0300586469999997,0.0023342585,5.48E-03,0.0004087168,-,-,0.01645999,0.012702785,0.002666087,0.0008761228,95,,,
,96,0.0028966428,6.60E-05,0.01283968,0.007398353,0.00000232319890410959,0.0300429840000001,0.002467236,5.47E-03,0.0003941931,-,-,0.0167046900000001,0.013199495,0.00261883700000001,0.0009640055,96,,,
,97,0.0028778883,6.72E-05,0.01297179,0.007725582,0.00000234689534246575,0.0300273550000001,0.0026045277,5.47E-03,0.0003803287,-,-,0.0169507499999999,0.013714747,0.002569241,0.0010768995,97,,,
,98,0.0028591338,6.83E-05,0.01310415,0.008063397,0.00000237046849315069,0.0300117659999999,0.002746145,5.47E-03,0.0003672855,-,-,0.01719817,0.014248832,0.00251767899999999,0.0012124698,98,,,
,99,0.0028403792,6.94E-05,0.01323674,0.008411819,0.00000239391917808219,0.0299962210000002,0.0028920987,5.46E-03,0.0003552429,-,-,0.01744694,0.014802034,0.002464507,0.0013680108,99,,,
,100,0.0028216247,7.06E-05,0.01336956,0.008770873,0.00000241724767123288,0.0299807209999998,0.0030423993,5.46E-03,0.0003443966,-,-,0.0176970400000001,0.015374634,0.002410054,0.0015409187,100,,,
,101,0.0028028702,7.17E-05,0.01350261,0.009140588,0.00000244045479452055,0.029965271,0.0031970569,5.46E-03,0.0003349541,-,-,0.0179484799999999,0.015966907,0.002354623,0.0017288781,101,,,
,102,0.0027841157,7.29E-05,0.0136359,0.009520999,0.00000246354109589041,0.0299498759999999,0.0033560808,5.46E-03,0.0003271287,-,-,0.0182012500000001,0.016579127,0.002298492,0.0019298915,102,,,
,103,0.0027653611,7.41E-05,0.01376942,0.009912143,0.00000248650739726027,0.0299345340000001,0.00351948,5.45E-03,0.0003211303,-,-,0.01845535,0.017211565,0.002241913,0.0021422443,103,,,
,104,0.0027466066,7.52E-05,0.01390317,0.010314062,0.00000250935452054795,0.029919252,0.0036872624,5.45E-03,0.0003171532,-,-,0.01871077,0.01786449,0.002185116,0.0023644542,104,,,
,105,0.0027278521,7.64E-05,0.01403714,0.010726801,0.00000253208273972603,0.0299040310000001,0.0038594356,5.45E-03,0.000315363,-,-,0.01896751,0.01853817,0.002128307,0.0025952245,105,,,
,106,0.0027090975,7.76E-05,0.01417133,0.01115041,0.00000255469315068493,0.0298888719999999,0.0040360063,5.45E-03,0.0003158835,-,-,0.0192255600000001,0.019232871,0.002071672,0.0028334059,106,,,
,107,0.002690343,7.88E-05,0.01430577,0.01158494,0.00000257718630136986,0.02987378,0.0042169804,5.45E-03,0.0003187871,-,-,0.0194849199999999,0.01994886,0.002015376,0.0030779682,107,,,
,108,0.0026715885,7.99E-05,0.0144404,0.012030447,0.00000259956301369863,0.0298587540000002,0.0044023633,5.45E-03,0.0003240901,-,-,0.01974558,0.020686402,0.001959562,0.0033279787,108,,,
,109,0.002652834,8.11E-05,0.01457528,0.012486988,0.00000262182410958904,0.0298437979999999,0.0045921593,5.44E-03,0.0003317534,-,-,0.0200075399999999,0.021445764,0.001904363,0.0035825872,109,,,
,110,0.0026340794,8.23E-05,0.01471037,0.012954623,0.0000026439701369863,0.0298289130000002,0.0047863723,5.44E-03,0.0003416902,-,-,0.0202707900000001,0.022227212,0.001849886,0.0038410142,110,,,
